content,label
"o‘zbekistonning shahar va qishloqlari, tabiat va qo‘riqxonalari qiyofasiga ham yurtdoshlarimiz chiqindini ko‘pincha noma’lum joylarga tashlab qo‘yayotganidan zarar ko‘rmoqda. shunday qilib, ko'pincha hovlilarda o'z-o'zidan chiqindixonalar paydo bo'ladi, bu odamlarning noroziligiga sabab bo'ladi, nafaqat tashqi ko'rinish, balki sanitariya-gigiyena holati ham yomonlashadi. axlatni noto'g'ri joyga tashlaganlik uchun qonuniy jarimalar ahamiyatsiz bo'lganligi sababli samarali emas. jahon amaliyoti yuqori jarimalar tizimi samaradorligi va bayonnomaning soddaligini mukammal isbotladi. ko'chalar tozaligi bo'yicha yetakchi bo'lgan ko'plab mamlakatlarda axlatni noto'g'ri joyga tashlaganlik uchun jarima juda katta (aqsh, avstriya, buyuk britaniya, shveytsariya, singapur, irlandiya, avstraliya, yaponiya, gruziya, belarusiya) - bir yuz aqsh dollaridan. , bundan tashqari, aybdorlar bo'lishi mumkin jamoat ishlari ham qo'llaniladi, takroran sodir etilgan taqdirda ozodlikdan mahrum qilish jazosi. ko'chalarda chiqindiga qarshi samarali kurashning asosiy tamoyili katta miqdordagi jarima shaklida jazolashdir. axlatni noto‘g‘ri joyga tashlaganlik uchun jarimadan tushgan pullar jamoat joylarini obodonlashtirish va tabiatni muhofaza qilishga yo‘naltirilishi kerak. mavjud tizim va axlatni noto'g'ri joyga tashlaganlik uchun jarima miqdori samarasiz. o'zgartirishlar kiritish taklif etiladi ma’muriy javobgarlik to‘g‘risidagi kodeksni batafsil modda bilan to‘ldirib, jarima miqdorini bir necha baravar oshirish (10inchi o‘ttizinchi mvtgacha) va ma’muriy bayonnoma rasmiylashtirish tartibini soddalashtirish. yetti ming  to‘rt yuz oltmish bir",2
"yo‘l harakati qoidalarini buzganlik uchun jarima undirish bo‘yicha xorijiy amaliyotdan kelib chiqib, o‘zbekiston respublikasining ma’muriy javobgarlik to‘g‘risidagi kodeksiga jarimalarni ellik foiz chegirma bilan to‘lash imkoniyatini nazarda tutuvchi o‘zgartirish kiritishni taklif etaman. mexanizm quyidagicha bo‘ladi chegirma ma’muriy jarima solish to‘g‘risidagi qaror qabul qilingan kundan boshlab yigirma kun davomida amal qiladi.ushbu muddat davomida haydovchi jarima summasining ellik foizini to‘laydi. yigirma kundan keyin siz jarimani to'liq to'lashingiz kerak bo'ladi. muhim sbddda jarimaning yarmini to'lash yigirmainchi kuni yarim tungacha amalga oshirilishi mumkin. inspektor yoki videokamera tomonidan qaror chiqaradigan barcha qoidabuzarlarga jarima toʻliq summasi koʻrsatilgan tilxat beriladi va hujjatning pastki qismida jarimaning ellik foizini toʻlash imkoniyati toʻgʻrisida yozuv boʻladi. chegirma. men quyidagi yo'l harakati qoidalarini buzganlik uchun chegirma bermaslikni taklif qilaman - spirtli ichimliklar yoki giyohvand moddalar bilan bog'liq har qanday qonunbuzarliklar; - tibbiy ko'rikdan o'tishni rad etish; - tezlikni bir necha marta qirq - oltmish km/soat, oltmish - sakson km/soat va sakson km/soat dan ortiq oshirish; - qizil chiroqni qayta yoqish; - qarama-qarshi harakatlanish chizig'iga chiqish; - noto'g'ri ro'yxatga olingan transport vositasini qayta boshqarish; - sog'likka engil yoki o'rtacha og'irlikdagi zarar etkazish. agar huquqbuzarlik avvalgi jinoyati uchun jazo o‘tkazilganidan keyin bir yil ichida sodir etilgan bo‘lsa, takroriy huquqbuzarlik hisoblanadi. ya'ni, agar qoidabuzar tezlikni bir marta qirq km/soatga oshirgan bo'lsa, u holda jarimani chegirma bilan to'lashi mumkin, ammo keyingi uch yuz oltmish besh kun ichida bunday qoidabuzarlik yana sodir etilgan bo'lsa, chegirma bo'lmaydi. biroq, mexanizmni yaxshilash mumkin. chegirmalardan foydalanish xorij tajribasini (rossiya, turkiya) hisobga olgan holda juda o‘rinli. taklif moliyaviy intizomni yaxshilash va jazolarni o‘z vaqtida ijro etishga xizmat qiladi. besh ming  to‘qqiz yuz oltmish ikki",5
"bugungi kunda xalq taʼlimi tizimi tubdan isloh qilinmoqda. lekin, ushbu sohaning rivojlanishida bir qancha muammolar mavjud. xalq taʼlimi tizimi dasturi va sifati oliy o’quv yurtlariga kirishga javob bermaydi. shu sababli repetitorlarga murojaat qilishga to’g’ri keladi. lekin, repetitorga borishga hammaning ham qurbi yetmaydi. shu munosabat bilan xalq taʼlimi tizimini yana-da takomillashtirish yuzasidan quyidagi takliflarni beramiz. birinchidan, bugungi kundagi o’quv dasturlari va darsliklar zamonaviy fan va ilm talablariga javob bermaydi. ushbu munosabat bilan rivojlangan davlatlarning o’quv dasturlarini chuqur o’rganib, yangi takomillashtirilgan dasturlar asosida darsliklarni ishlab chiqish, aniq fanlar bo’yicha darsliklarga qo’shimcha masalalar va misollar to’plamini chop etish taklif qilinadi. ikkinchidan, kadrlar masalasida ayrim muammolarni bartaraf etish zarur. xalq taʼlimi sohasida tayyorlanayotgan pedagog kadrlarning ko’pligi va noto’g’ri rotatsiyasi sababli umumtaʼlim maktablarida o’qituvchilarning aksariyat qismi yarim stavkada ishlaydi. bu o’qituvchilarning o’z kasbiga qiziqishini yo’qotib, o’z ustida ishlamasligiga olib keladi. shu sababli maktablarda pedagog kadrlarning ish bilan taʼminlanishini monitoring qilib borish va mavjud kvotalarni qayta ko’rib chiqish taklif qilinadi. uchinchidan, maktablarda o’quvchilar o’rtasida raqobat muhitini shakllantirish lozim. maktablarda o’quvchilarni bilimiga qarab “a”, “v”, “s” toifali sinflarga saralash, har chorak yakunidagi reyting ballari asosida doimiy sinf tarkibini yangilab borish va ushbu toifali sinflarni o’qitadigan o’qituvchilarning maoshi orasida rag’batlantiruvchi farqni shakllantirish taklif qilinadi. bizning fikrimizcha, ushbu keltirilgan takliflar xalq taʼlimi sohasini yana-da rivojlantirishga olib keladi. to‘rt ming  sakkiz yuz yetti",7
"bugungi kunda poytaxtimiz aholisi ko’payib borayotganini hisobga olib, ular uchun qulay shart-sharoitlar yaratishga katta eʼtibor qaratilmoqda. biroq jamoat joylarida umumiy hojatxonalarni tashkil qilishga yetarlicha eʼtibor qaratilmayapti. zamonaviy talablarga javob beradigan hojatxonalar barpo qilish nafaqat xalqimiz uchun, balki yurtimizga tashrif buyurayotgan mehmonlarimiz uchun ham qulaylik yaratadi. yoshi ulug’ kishilar, bolalar va bemorlar bu borada zarurat tug’ilganda anchagina noqulay ahvolda qolishadi. oddiy xojatxonalar bilan birga xorijiy davlatlarga o’xshab chaqaloqlarni yo’rgaklash xonalari, imkoniyati cheklangan kishilar uchun maxsus hojatxonalar barpo etilsa, nur ustiga aʼlo nur bo’lar edi. hojatxonalarni avvalo metro bekatlarida qurishdan boshlash kerak. bunda albatta har bir bekatning har ikki chiqish tarafiga qurilsa, qulayroq bo’lardi. metro bekatlaridan tashqari boshqa jamoat joylarida ham shunday tipdagi hojatxonalar qurish mumkin. hojatxonalarni ko’paytirish bilan birga ularda xizmat ko’rsatish sifatiga, sanitariya-gigiyena holatiga qattiq eʼtibor berish lozim. besh ming  olti yuz qirq olti",3
"hozirgi kunda fuqarolar yangi bo’lmagan avtomobillarni sotishda va xarid qilishda majburiy ravishda notariuslarga borishga majbur bo’lishmoqda. hammaga maʼlumki, bugungi kunda mavjud notarial idoralar kamligi sababli, oldi-sotdi shartnomalarni rasmiylashtirish ko’p vaqtni olmoqda. yangi bo’lmagan avtomobillarning oldi-sotdi shartnomalarini rasmiylashtirish va yo’l harakati xavfsizligi bo’limida ro’yxatga olishdagi to’lovlar qimmatdir. shu sababli avtomobillarni oldi-sotdi shartnomalarini notariusda rasmiylashtirishni bekor qilish lozim. dunyoning ko’pgina davlatlarida avtomobillarni oldi-sotdi va ro’yxatga qo’yish jarayonlari soddalashtirilgan. masalan, yangi bo’lmagan avtomobillarni sotishda fuqarolar o’zaro oldi-sotdi shartnomasini tuzib imzolashadi. shundan so’ng, yo’l harakati xavfsizligi bo’limida xarid qilingan avtomobilni ro’yxatga qo’yishadi. bundan tashqari, ushbu davlat xizmatlari fuqarolar uchun arzon narxlarda ko’rsatiladi. shu sababdan, yangi bo’lmagan avtomobillarni oldi-sotdi shartnomalarini rasmiylashtirishni soddalashtirish va yo’l harakati xavfsizligi bo’limida ro’yxatga olishdagi to’lovlarni ham arzon qilish lozim. to‘rt ming  to‘rt yuz yetmish bir",1
"yoshlarni maʼnaviy barkamol etib tarbiyalash, ularni turli zararli oqimlar va yot g’oyalar taʼsiridan asrash masalasiga katta eʼtibor qaratilmoqda. yoshlar kuni belgilanishining o’zi ham yoshlarga eʼtibor va qo’llab-quvvatlash, ularga keng imkoniyatlar yaratilganidan dalolatdir. o’sib kelayotgan avlodga eʼtiborni bugun avvalo oilada, mahallada kuchaytirishimiz va ularga zarur sharoitlarni yaratishimiz uchun barchamiz o’zimizda katta masʼuliyatni his qilmog’imiz lozim. mahallalarda yoshlar masalalarini o’rganish, ularning bandligini taʼminlash va bo’sh vaqtini mazmunli tashkil etishda samaradorlikni taʼminlash maqsadida mfy raisining yoshlar masalalari bo’yicha maslahatchisiga oylik maosh tayinlashni taklif qilamiz. uch ming  olti yuz yetmish olti",7
"yakka tartibdagi tadbirkorlar uchun qatʼiy belgilangan soliq stavkalari, yaʼni majburiy to’lovlar tizimida kamchiliklar mavjud. chunki hozirda yatt va boshqa yuridik bo’lmasdan faoliyat yurituvchilardan har oylik patent (qatʼiy belgilangan soliq) olinadi. patent stavkalari katta shahar, shaharchalar va tuman, qishloq bo’ylab turlicha qilingan bo’lsa-da, tadbirkorning iqtisodiy faoliyatdan oladigan foydasi shahar, qishloqning o’zida ham, turli joyda turlicha bo’ladi. hatto bozor ichida ham, tadbirkor do’konining joylashgan o’rniga qarab, savdodan foydasi turlicha bo’ladi. masalan, bozor eshigi oldida turgan tadbirkor patent pulini yarim kunda ishlab topsa, do’koni bozorning oxirida joylashgan tadbirkor yarim oylik faoliyatidan patent puli uchun mablag’ yig’adi, ayrim hollarda umuman yig’a olmaydi. bizning buxoro bozorlarida ham bozorning ichki, oraliq qismlarida joylashgan turli do’kon eshiklariga “yopiq” va “sotiladi” mazmundagi eʼlon osilgan. chunki, isteʼmolchi odam kam qatnaydigan joylarda patent pulini qoplab bo’lmaydi. shu sababli, vakolatli organlardan, qatʼiy belgilangan soliqning o’rniga tadbirkorlik faoliyati foydasidan yoki yalpi tushumidan foiz olish singari yagona soliq tizimini joriy etish to’g’risida qonun qabul qilishlarini so’raymiz. to‘rt ming  to‘qqiz yuz yigirma bir",1
"o’zbekiston respublikasi mehnat kodeksi bir yuz sakson birinchi moddasini quyidagi mazmundagi uchinchi qism bilan to’ldirish taklif etamiz “agar xodim birinchi marta intizomiy jazo qo’llash mumkin bo’lgan kichik qoidabuzarlik sodir etsa, unga intizomiy jazo emas, balki ish beruvchining buyrug’i asosida ogohlantirish beriladi. qo’pol qoidabuzarliklar bundan mustasno”. ushbu taklif birinchi marta kichik qoidabuzarlik sodir qilgan xodimlarga intizomiy jazo qo’llamasdan, ularga ogohlantirish berish yo’li bilan tuzatish, xodimlarni qo’llab-quvvatlash maqsadida taklif qilinmoqda. taklifni amalga oshirish uchun o’zbekiston respublikasi mehnat kodeksi bir yuz sakson birinchi moddasiga o’zgartish kiritish lozim. uch ming  uch yuz yetmish bir",8
"za period s ikki ming  uch goda polojeniya instruksii “ob utverjdenii instruksii o slujebnыx komandirovkax v predelax respubliki uzbekistan” znachitelno ustareli i ne otvechayut trebovaniyam segodnyashnego dnya. komandirovannomu rabotniku vozmeщayutsya rasxodы po naymu jilogo pomeщeniya, proyezdu k mestu komandirovki i obratno k mestu postoyannoy rabotы, a takje vыplachivayutsya sutochnыe. rasxodы po naymu jilogo pomeщeniya v meste komandirovki vozmeщayutsya komandirovannomu rabotniku so dnya pribыtiya i po den vыezda po fakticheskim zatratam (za isklyucheniyem nomerov-lyuks) pri nalichii podtverjdayuщix dokumentov. odnako, gostinitsы mogut bыt zanyatы, i rabotnik budet vыnujden poyti na chastnuyu kvartiru, pri etom, eti rasxodы ne oplachivayutsya. sleduyet uchest, chto rasxodы na kvartiru sostavlyayut ne meneye ellik tыs. sumov v den v oblastnыx sentrax, a v stolitse yeщe doroje. v etom sluchaye, soglasno instruksii rasxodы po naymu jilogo pomeщeniya pri otsutstvii podtverjdayuщix dokumentov vozmeщayutsya v razmere ikki protsentov ot ustanovlennogo razmera minimalnoy zarabotnoy platы za kajdыe sutki, chto sostavlyayet uch ming  olti yuz sakson olti sum v den! krome togo, v instruksii ne predusmotrenы rasxodы na pitaniye i obщestvennыy transport, k primeru, v oblastnыx sentrax i stolitse prixoditsya chasto polzovatsya uslugami obщestvennogo transporta vo vremya rabotы. realnыe sutochnыe rasxodы rabotnika mogut sostavit okolo ellik tыs.sum bez projivaniya. a po instruksii sutochnыe rasxodы za vremya prebыvaniya v komandirovke ustanavlivayutsya v koeffitsiyentax ot ustanovlennogo v respublike razmera minimalnoy zarabotnoy platы v g. tashkente i oblastnыx sentrax “0,1”, chto sostavlyayet o‘n sakkiz ming  to‘rt yuz o‘ttiz sum; v drugix gorodax i naselennыx punktax “0,08”, chto sostavlyayet o‘n to‘rt ming  yetti yuz qirq to‘rt sum. krome togo, ne oplachivayutsya sutochnыe yesli vы napravlenы v komandirovku v takuyu mestnost, otkuda imeyetsya vozmojnost yejednevno vozvraщatsya k mestu svoyego postoyannogo jitelstva! pri etom vopros o tom, mojet li rabotnik yejednevno vozvraщatsya iz mesta komandirovki k mestu svoyego postoyannogo jitelstva v kajdom konkretnom sluchaye reshayetsya rukovoditelem komandirovavshey organizatsii. s uchetom vыsheizlojennыx problem neobxodimo korennыm obrazom peresmotret polojeniya ustarevshey instruksii. v obnovlennom normativno-pravovom akte opredelit, chto yavlyayetsya komandirovkoy, kakiye fakticheskiye rasxodы doljnы yavlyayetsya zatratami, svyazannыmi s komandirovochnoy rabotoy. v kakix realnыx razmerax doljnы bыt oplachenы komandirovochnыe rasxodы, vklyuchaya te, kotorыe fakticheski pones rabotnik s predʼyavleniyem i bez predʼyavleniya podtverjdayuщix dokumentov. zarabotnaya plata doljna bыt polnostyu ispolzovana na nujdы rabotnika i yego semi, kotoraya na vremya komandirovki lishayetsya blizkogo cheloveka ne po svoyey vole. neobxodimo pomnit, chto soglasno konstitutsii – semya yavlyayetsya osnovnoy yacheykoy obщestva i imeyet pravo na zaщitu obщestva i gosudarstva. neobxodimo peresmotret instruksiyu, prinyatuyu ministerstvom finansov respubliki uzbekistan v ikki ming  uch godu, kotoraya predusmatrivayet ustarevshiye pravila rascheta komandirovochnыx rasxodov, a takje ne obosnovano predostavlyayet na usmotreniye rabotodateley prinyatiye nekotorыx resheniy otnositelno razmerov ix vozmeщeniya. to‘rt ming  ikki yuz ellik to‘rt",1
"barcha ishlaydigan pensionerlar nomidan. ishlayotgan pensionerlarga qachon to'liq pensiya to'lanadi? o‘z vaqtida ishlab, yurtimiz oldidagi fuqarolik burchimizni bergan edik. va ular nafaqa olishdi. biroq, biz ishlashda davom etamiz, chunki joriy narxlarni hisobga olgan holda, siz pensiya bilan yashamaysiz va bizdan 50% ushlab turiladi. boshqa toifadagi ishlaydigan pensionerlarga 100% to'langanda. misol uchun, men 50% stavkada pensiya olganimdan ko'ra ko'proq ishlayman va vpfga o'tkazaman. shunday qilib, agar men ishlamagan bo'lsam, vpfdan 100% olgan bo'lardim. shunday qilib, ishlaydigan nafaqaxo'r o'z daromadlari bilan pensiya uchun byudjet xarajatlarini qisman qoplaydi. va bu shuni anglatadiki, nafaqaxo'rlar qancha ko'p ishlasa, hpf mablag'lari shunchalik kam sarflanadi. g'oyaning maqsadga muvofiqligi shundaki, nafaqaxo'rlarga pensiyalarning bir yuz foizini to'lash iqtisodiy jihatdan foydalidir, chunki ishlaydigan nafaqaxo'r hisoblangan pensiya miqdorini qisman qoplaydi va pensiya jamg'armasidan davlat xarajatlarini kamaytiradi. uch ming  bir yuz to‘qson besh",1
